test_p122_.png: psnr=19.49497290411388 ssim=0.820588675408032 uiqm=0.8352601819307874 uciqe=25.070899952735836
test_p123_.png: psnr=23.76971921100185 ssim=0.7343046163175844 uiqm=0.649828122995644 uciqe=25.899314295026187
test_p125_.png: psnr=19.536736248742677 ssim=0.7738808818932589 uiqm=0.8082687799052928 uciqe=24.456276383382683
test_p126_.png: psnr=13.891249181697162 ssim=0.6654267166326076 uiqm=0.5579520662008427 uciqe=24.52277314548884
test_p127_.png: psnr=26.11894262031762 ssim=0.8958010260331105 uiqm=0.509634711858975 uciqe=24.64297725893254
test_p128_.png: psnr=24.324044328466616 ssim=0.8494770038771441 uiqm=0.9276312042366963 uciqe=29.1982981930322
test_p129_.png: psnr=22.210475188720867 ssim=0.9125971101414868 uiqm=0.8444184183154553 uciqe=28.61611400409191
test_p130_.png: psnr=25.052671028777013 ssim=0.8463011646890385 uiqm=0.7139833871278596 uciqe=27.660463379829583
test_p131_.png: psnr=18.775766314051936 ssim=0.8110756758084383 uiqm=0.6512285164360794 uciqe=26.680197274563206
test_p132_.png: psnr=21.45447690035127 ssim=0.7794937175410271 uiqm=0.2015726306993203 uciqe=24.541087906259026
test_p133_.png: psnr=22.07546966405514 ssim=0.8698293428848792 uiqm=0.2104863510877163 uciqe=22.382198596785724
test_p134_.png: psnr=24.0923640922703 ssim=0.8245817957520273 uiqm=0.9337984287228855 uciqe=23.550201637641546
test_p135_.png: psnr=23.883705154371235 ssim=0.8301239893591982 uiqm=0.8488988865634555 uciqe=29.093601724301482
test_p136_.png: psnr=23.863497504799117 ssim=0.8311630817154511 uiqm=0.3166125594723863 uciqe=20.95919034709278
test_p137_.png: psnr=20.367665709103427 ssim=0.7794326124719261 uiqm=0.4351060724137624 uciqe=26.223380567135937
test_p138_.png: psnr=17.414736348975634 ssim=0.7550004004769916 uiqm=-0.23847719455711636 uciqe=22.896557982440477
test_p139_.png: psnr=21.57056137691058 ssim=0.8699871107729392 uiqm=0.10644404554745368 uciqe=38.13635097607213
